Chemical,CVAero,cvAeroPValue,ODAero,odAeroPValue,CVAnaero,cvAnaeroPValue,ODAnaero,odAnaeroPValue,log2fcCvAnaero,log2fcCvAnaeroPValue
D_Fructose,0.825033333333334,2.49216102857597e-12,0.416300000000001,1.19749917183159e-05,-0.00651668533333199,0.94291110070502,0.0368500003333335,0.402245505453032,-0.721457112875368,1.39266906193751e-05
Glycerol,0.799066666666668,1.0740698034683e-11,0.525433333333334,4.10654101272643e-08,0.0328166783333348,0.718404971357761,0.218383337,1.01220528594038e-06,-0.633722464493603,0.000132402400120581
D_Ribose,0.247666666666668,0.0304108775891317,0.153833333333334,0.101982369047809,-0.206950008999999,0.0234159600290356,-0.0155499999999998,0.723645240899961,-0.620985646953801,0.00017979512105177
g_Cyclodextrin,0.0124333333333323,0.91320018584063,0.0854666666666664,0.363011507972554,-0.320316672000001,0.000479261626560647,0.0596833376666665,0.175217609468527,-0.615020362185553,0.000207117812140849
a_D_Glucose,0.85216666666667,5.223464198588e-13,0.690633333333336,1.12768261501302e-12,0.110316664000003,0.225852531657085,0.196316674333334,1.04265582723925e-05,-0.594060373879716,0.000337339770245774
L_Ornithine,1.2098,2.96830558599118e-23,0.1486,0.114136930050057,0.318249990666667,0.000520639618327558,0.0563833370000001,0.200250927596682,-0.566924891572586,0.000620891778051036
a_HydroxyGlutaricAcid_g_Lactone,0.064166666666666,0.57381819662818,0.141266666666666,0.133061683396149,-0.27001666,0.00317329016399265,-0.0167166663333331,0.70385987341545,-0.553812367622258,0.00082656154829057
D_L_a_Glycerol_Phosphate,0.148366666666663,0.193836918351364,0.192966666666665,0.0404340318473269,-0.221983333333336,0.0150982922828801,-0.0145833320000008,0.74018117344901,-0.523935087250262,0.00155320173833225
OxalomalicAcid,0.227633333333332,0.0465318638260689,0.0611999999999993,0.514700176988934,-0.145083328000002,0.111453751339511,0.0725166696666663,0.0997255903807548,-0.485554290483045,0.00334539825716695
M_Inositol,0.133900000000001,0.240852184354449,0.0673000000000002,0.473722202173672,-0.198283334666665,0.0298367109744815,-0.0226499983333331,0.606559261947104,-0.478548003141619,0.00382832084425032
L_Alanyl_Glycine,0.211633333333333,0.0641307847462508,0.0966000000000002,0.303957802700154,-0.157783339333333,0.0835403199859861,-0.03005,0.49450904759585,-0.476817099768015,0.00395701743555057
N_Acetyl_b_D_Mannosamine,0.286233333333333,0.0124459352748232,0.118466666666666,0.207581114858829,-0.110883325333334,0.223482097265658,-0.0237499996666668,0.589202243616159,-0.459805635640828,0.0054478599443271
D_LacticAcidMethylEster,0.6517,2.17434006166059e-08,0.0217,0.817256979973965,0.112783342666667,0.215664525584555,0.0709500016666666,0.107236004835821,-0.451992114979884,0.0062896278902978
D_GlucuronicAcid,0.0568666666666653,0.618150830918984,0.071266666666666,0.448072704362531,-0.221583336666668,0.0152802670089973,-0.0390500003333337,0.374769473488346,-0.443103578406809,0.00738846690872055
a_Methyl_D_Mannoside,0.304166666666664,0.00794397117313687,0.0857666666666657,0.361331324608435,-0.0643166600000021,0.479849200366689,0.0661166659999994,0.133266185736173,-0.428640834505871,0.00954864081412586
L_Serine,0.0402,0.724532860589155,0.153033333333333,0.103770432443936,-0.226283331666667,0.0132598053934184,-0.0105166660000001,0.810990147181922,-0.426168060044842,0.0099698633556534
CitraconicAcid,0.394433333333331,0.000600069341181917,0.0750333333333325,0.424466874047793,-0.00438333533333492,0.961582105650199,0.0616166666666662,0.161683786701802,-0.424291431599259,0.0103005234438681
L_Fucose,0.0545666666666673,0.63242391956353,0.076533333333334,0.415273313745564,-0.208516666999999,0.0223937518149503,-0.0337833313333331,0.442507009233106,-0.422980024551422,0.0105373619240462
L_Alaninamide,0.493099999999998,1.93852708189292e-05,0.103666666666666,0.269997108790174,0.0584166746666655,0.521023967385117,0.0769500086666663,0.080734690953783,-0.418704397259664,0.0113435980359152
L_Phenylalanine,0.527533333333333,5.05539564785594e-06,0.108233333333333,0.249494079459658,0.0708166859999998,0.436629721380622,0.0386166746666666,0.380087194415734,-0.41806948813997,0.0114678874052453
L_Rhamnose,0.0129999999999971,0.909260953306602,0.076599999999999,0.414867471118866,-0.242816666666669,0.00790548484485398,-0.0364833326666672,0.406940012497069,-0.417493749410892,0.0115816390990157
1_2_Propanediol,0.0703999999999988,0.537203007832294,0.0909333333333328,0.333166229049752,-0.206549992333334,0.0236833892667149,-0.0398499993333335,0.365074004868017,-0.417465919374114,0.0115871629533619
D_Mannitol,1.0434,3.28339452076328e-18,0.575066666666667,2.20444232673283e-09,0.386150012666667,2.72935823006768e-05,0.0422500073333335,0.336942181485766,-0.404143158540167,0.0145163193002234
D_Tagatose,0.448566666666666,9.86402510269267e-05,0.103333333333333,0.271537851283675,0.0458499889999995,0.614428998630893,0.0719833323333332,0.102233586494505,-0.392931664112356,0.017469625718378
L_Alanine,0.791233333333332,1.65766643368872e-11,0.369299999999999,9.86199063547893e-05,0.246616691333332,0.00699128012825129,0.025016665333333,0.569505303155657,-0.391282651403934,0.017945830770346
D_Cellobiose,0.192,0.0929209449525928,0.0482333333333337,0.607568866263329,-0.118250002666666,0.194279118174904,-0.0239166643333331,0.586592620339701,-0.391054480812203,0.0180126116658148
sec_Butylamine,0.167433333333335,0.142689754733893,-0.0140999999999994,0.880647734428615,-0.124716669333332,0.171049301908861,0.0760499983333337,0.0843308624395916,-0.388679984728196,0.0187206263555685
a_Keto_GlutaricAcid,0.0732333333333312,0.520958311381917,0.312699999999999,0.000945383481441515,-0.185816675333335,0.0417068467311976,0.109283328,0.0133123450043169,-0.387677603759933,0.0190267589215169
TricarballylicAcid,0.146833333333332,0.198473500673937,0.0798666666666661,0.395270882731309,-0.142283330333334,0.118506671515125,-0.0192833320000001,0.6610497709694,-0.38182493816465,0.0209032342008039
MucicAcid,0.237099999999999,0.0381847490844418,0.0984999999999998,0.294558632067227,-0.0870833496666677,0.338876134852001,-0.0336833296666669,0.443857733341432,-0.378686943571902,0.0219743907757767
Glucose_1_Phosphate,0.0973666666666667,0.39353995483795,0.0832666666666666,0.375482405868158,-0.167683323,0.0659709784721578,-0.0202499976666667,0.645201586746445,-0.378554336831482,0.0220206912269187
D_GalactonicAcid_g_Lactone,-0.0609000000000035,0.593469604461178,0.0627333333333318,0.504228627512344,-0.261883338333336,0.00420292681225472,-0.0316166626666674,0.472296286890344,-0.363391582718633,0.0279078523947535
Acetamide,0.484866666666666,2.64386969069876e-05,0.0588666666666665,0.530850144784868,0.0744500063333331,0.413486264305188,0.0453833289999999,0.302380815970466,-0.362893299490233,0.0281224488036709
Adonitol,0.0689999999999993,0.54532309911637,0.089633333333333,0.340115391334623,-0.174516667666668,0.0557226081919272,-0.016916664666667,0.700487798823465,-0.362296704959889,0.0283812581478897
2_HydroxybenzoicAcid,0.0066666666666653,0.953392642071541,0.0590999999999994,0.529223606716823,-0.209116667333334,0.0220127051399802,0.073050002333333,0.0972671242798457,-0.361105626630973,0.0289041160546986
D_Psicose,0.134166666666666,0.239918298636423,0.0574666666666665,0.540662556652831,-0.122450003666667,0.178941648901339,0.00678333633333313,0.877407617766437,-0.353597723841456,0.0323949457490805
D_Galactose,-0.158933333333333,0.164036317604575,0.0911333333333335,0.332105350256534,-0.319250007666666,0.000500217217374781,-0.0370166649999999,0.400122492515424,-0.334756055209465,0.0427842288394743
2_3_Butanedione,-0.134200000000001,0.239801743339356,-0.0115000000000003,0.902533253257986,-0.290116667333334,0.00153851688687179,0.0691833346666664,0.116237455486159,-0.330477083639507,0.045502070407725
D_Fucose,0.239333333333331,0.0364133921289077,0.0805666666666658,0.391145866132861,-0.0372166733333351,0.682591905336378,0.0591833316666662,0.178852165074215,-0.329904133342299,0.0458768227287545
a_KetoValericAcid,0.113099999999999,0.321723986388601,0.0884999999999997,0.346249172228021,-0.121716668333334,0.181552412349776,0.161883334,0.000262715562266574,-0.326653643301186,0.0480525340900371
Lactulose,0.0647666666666662,0.570242674587393,0.0585666666666664,0.532945143509679,-0.154350002666667,0.0904574138722417,-0.0279499990000002,0.525141826913769,-0.321352003002323,0.0517873212310045
L_GalactonicAcid_g_Lactone,0.1748,0.125979658206986,0.0524666666666666,0.576433270743421,-0.0790833133333338,0.385055710965119,-0.0361166646666667,0.411667181690416,-0.312338420038003,0.0586946705313777
D_GlucosaminicAcid,-0.0096333333333349,0.932694206725081,0.0767333333333324,0.414056492322876,-0.198283334666668,0.0298367109744789,-0.0273499986666673,0.534069781593707,-0.312185425064793,0.0588182294369811
Palatinose,0.0225666666666656,0.843171634899592,0.0100999999999997,0.914349729327915,-0.168049981000001,0.0653840033429836,0.0552166649999998,0.209700685627918,-0.300414438434048,0.0689939007168879
D_Melezitose,0.214300000000001,0.0608628201078207,0.0544666666666674,0.561991080377015,-0.0384499926666655,0.672676765108879,0.0595833363333336,0.175940060035299,-0.300169188872474,0.0692204292766354
Sucrose,0.0832333333333315,0.465720926169666,0.0458333333333325,0.625548555033155,-0.127483338000001,0.161774153239496,-0.0295833300000004,0.501232466538402,-0.294741535362463,0.0743924302668422
D_Arabitol,0.922633333333335,7.65091334516186e-15,0.103033333333334,0.27292967885902,0.449416687333334,1.15672411925335e-06,0.0556833320000002,0.205882616387058,-0.294372377375361,0.0747553966497968
Sedoheptulosan,0.231866666666666,0.0426256582334918,0.0703333333333329,0.454035627860393,-0.0237499970000007,0.794110491555165,0.0561500046666664,0.20211545286328,-0.292211078684255,0.0769096314353404
a_D_Lactose,0.122866666666666,0.281762722326071,0.0627999999999999,0.503775915664099,-0.093849986666667,0.302726744740035,-0.0282833326666667,0.520215193043053,-0.288102247699566,0.0811447682844396
g_AminoButyricAcid,0.610666666666667,1.45762465956023e-07,0.529833333333333,3.19543636865345e-08,0.239583323666666,0.00876651101849492,0.263316675666667,4.76713717262101e-09,-0.285627910018865,0.0837853934500621
Dextrin,-0.288133333333335,0.0118797495110481,0.0120333333333327,0.898037289178992,-0.370816667666668,5.53248531505715e-05,0.0514833383333329,0.242108477185912,-0.284270938337288,0.0852629021778105
Glycyl_L_Proline,0.515733333333333,8.0802405806706e-06,0.403733333333334,2.14742719540393e-05,0.172183344666667,0.0590611488650081,0.082383335,0.0615932846437258,-0.283993851149145,0.0855671823779679
L_Lyxose,-0.0863000000000009,0.449459912625104,0.0799333333333331,0.39487689043901,-0.231683333666667,0.0112340600349114,-0.00768333166666683,0.861298152724979,-0.283015476524964,0.08664861478081
D_Xylose,-0.0268000000000004,0.814248543913006,0.0944333333333331,0.314917681223137,-0.197250008333334,0.0306953726527366,-0.0167500003333334,0.703297436778725,-0.282024620505087,0.0877550864209108
M_HydroxyPhenylAceticAcid,0.0874666666666654,0.443359570833155,0.051266666666666,0.585182114240818,-0.111883332333334,0.219342593124036,-0.0332166653333337,0.450192139275377,-0.277363865529268,0.0931137496475682
b_Cyclodextrin,0.0284333333333321,0.803154566956559,0.064933333333333,0.489403577981001,-0.157549987000001,0.083996416724141,0.0433833373333331,0.324157680612306,-0.27233858755234,0.0991830798695179
Dihydroxyacetone,-0.0909333333333321,0.425515683954886,0.0132666666666671,0.887653187726668,-0.231116662333332,0.0114328454084782,0.100483333,0.0227638316407849,-0.270087347547906,0.102002724363338
D_Glucosamine,0.3567,0.00188614132608552,0.0564000000000003,0.548199292404897,0.0848166643333338,0.351583142021649,0.206049998666667,3.82147651090828e-06,-0.268464931039513,0.104074135654868
Maltotriose,-0.00013333333333258,0.999067320244323,0.0755000000000007,0.421593933074446,-0.165183325666666,0.0700903713927569,0.00565000366666687,0.897765626769608,-0.263261209835077,0.110944598571122
Two_Aminoethanol,0.486499999999999,2.486869571147e-05,0.206499999999999,0.0283690622293329,0.162049998999999,0.0755502111584328,0.00381666899999985,0.930835405070605,-0.262503068818659,0.111974851987585
AceticAcid,0.152499999999999,0.181736755315106,0.219066666666666,0.0200910974810959,-0.0578166543333339,0.525311406143397,-0.0135166670000002,0.758568295563107,-0.252600263628927,0.126137258417636
4_HydroxybenzoicAcid,0.217366666666666,0.0572771052910306,0.2894,0.00219106018021419,0.000583340666666552,0.994885340824334,0.0613833343333333,0.163273840535828,-0.250113577879841,0.12990447092481
ItaconicAcid,0.301233333333334,0.00856180585139516,0.415866666666667,1.22215897007927e-05,0.0711499950000008,0.434475899299369,0.303616657666667,2.03067472996689e-11,-0.246110734211341,0.136151666234362
a_Methyl_D_Galactoside,0.0776666666666656,0.49605941028354,0.109933333333333,0.242147954266338,-0.109516670000001,0.22922962466315,-0.0404833303333336,0.357511043995084,-0.244212711041173,0.139193958308143
D_GalacturonicAcid,0.137666666666665,0.22789807067609,0.0439333333333328,0.639943497515434,-0.0582166610000012,0.522451150434042,-0.0317499983333336,0.470431616133523,-0.240379033867925,0.145498484494849
b_Methyl_D_Xyloside,0.633033333333334,5.23036618952309e-08,0.085666666666667,0.361890841008328,0.302283317000001,0.000972645706489788,0.0437833320000001,0.319722275246046,-0.233915056436441,0.156621507722462
D_Threonine,-0.0469666666666677,0.680548994004901,0.149966666666667,0.110857437795101,-0.189516653333334,0.0378238487550917,-0.0198833323333336,0.651194425530263,-0.232418382997802,0.159286759185384
Chondroitin Sulfate C,-0.119066666666667,0.296889924510668,-0.0357666666666665,0.703320549624218,-0.227916667666667,0.0126153216023024,0.0361500009999999,0.411236054996047,-0.228017730365601,0.167322522342957
Glycogen,-0.174566666666669,0.12648437487955,0.0559999999999996,0.551038942431739,-0.265449990666668,0.00371878810028926,0.0439500036666665,0.317885928060259,-0.220416461849423,0.18191569344819
Maltose,0.0189333333333378,0.868167457916121,0.0656000000000019,0.484958101736712,-0.13084998733333,0.151007788461626,-0.0272499996666658,0.535565204698358,-0.220086849250506,0.182569249263893
Amygdalin,-0.091466666666667,0.422808318432237,0.100266666666666,0.285996322340182,-0.205250004666667,0.0245709440505985,0.0573166683333331,0.192918842135096,-0.219429633468964,0.18387757995273
D_L_MalicAcid,-0.0958666666666675,0.400861839118396,0.3196,0.000729643511942456,-0.216883331333334,0.0175681721473127,0.214450006666667,1.55680947479334e-06,-0.217402611933762,0.187956613433412
a_Methyl_D_Glucoside,0.163633333333332,0.151952410077349,0.047166666666666,0.615531313454709,-0.0246500076666678,0.78649446955916,0.0608166706666664,0.167184637601759,-0.21613683794968,0.190537476731149
L_Sorbose,0.199233333333334,0.0812915729680243,0.0329333333333335,0.725830125890331,0.00908334066666676,0.920490405778171,0.119316667666667,0.00692337375360983,-0.215386514430708,0.1920796475781
Turanose,0.297633333333332,0.00937879658605104,0.0158333333333327,0.866107008574684,0.0851833323333318,0.349507313037222,0.0747833376666664,0.0896113933800218,-0.204670155715089,0.215117363461098
D_TartaricAcid,0.194599999999999,0.0885953004027689,0.0794666666666665,0.39763984185524,0.0189833343333325,0.834759281570083,0.0549499989999999,0.211905407642093,-0.200231013229746,0.225223171820381
3_O_b_D_Galactopyranosyl_D_Arabinose,0.0335333333333316,0.768779189398423,0.00386666666666629,0.967155637271853,-0.104316661666668,0.252061610297994,0.0833833319999998,0.0585180586472594,-0.197262942935263,0.23216686081509
a_Cyclodextrin,-0.148066666666668,0.194737736876406,0.0715333333333329,0.446377250897146,-0.228849997333334,0.0122596816247715,0.0584500009999996,0.184284171381943,-0.195993951166221,0.23518161586446
M_TartaricAcid,-0.0890000000000006,0.435414671081167,0.0757666666666662,0.419957405744075,-0.198250005333334,0.0298640796248829,-0.0190166656666669,0.665449054457371,-0.193814728738146,0.240423395502845
Glucose_6_Phosphate,0.0212666666666654,0.852098256534832,0.075966666666666,0.418732473262889,-0.100116660333334,0.271630355353783,-0.0324833320000003,0.460249390783824,-0.187593289280739,0.255840132828116
Glycyl_L_GlutamicAcid,0.180699999999999,0.113733644779598,0.0965999999999997,0.303957802700156,0.00891664633333273,0.921944812776345,-0.0162833310000002,0.71118613877653,-0.185501385851675,0.261175224761994
D_Lactitol,0.140533333333333,0.218378733717231,0.0675666666666669,0.471972837660094,-0.00665000066666637,0.94174526704538,0.0624833330000001,0.155880502039719,-0.183153167251211,0.267255259823556
b_Methyl_D_GlucuronicAcid,0.166533333333334,0.144843226659289,0.0555666666666669,0.554123403393932,0.0195499756666671,0.829901546446271,0.05515,0.210250284310309,-0.167985020949187,0.308871510782335
b_D_Allose,0.0423999999999984,0.710123781387408,0.033766666666666,0.719183909528071,-0.0713499883333344,0.433186517464303,0.0418499983333329,0.341531148262825,-0.16539672056023,0.316380247903674
N_Acetyl_D_Glucosaminitol,0.335433333333333,0.00345088191559566,0.0739999999999997,0.430869117473445,0.154949993,0.0892163231598697,0.0589833333333332,0.18032161641022,-0.15874819804916,0.336213370042467
D_Arabinose,-0.0891666666666668,0.434556091618845,0.0742666666666669,0.429211563892677,-0.169416686,0.0632340416242201,0.0788500009999999,0.0735530039738602,-0.158491886690037,0.336993683639705
D_AsparticAcid,0.108766666666663,0.340589716738369,0.0672999999999984,0.473722202173685,-0.0168166853333376,0.853390527073344,-0.0368833293333344,0.401820411322004,-0.153044971957404,0.353851593828575
Inosine,0.629133333333334,6.26706153063027e-08,0.195333333333333,0.0380531457611536,0.376549989333333,4.25970179968837e-05,-0.0169166650000002,0.700487793208209,-0.152973986890747,0.354074755943449
SorbicAcid,0.178233333333333,0.118733837842625,0.154933333333333,0.0995640764256424,0.0256166559999997,0.778337347917424,0.0971500029999999,0.0276433982902664,-0.150651937814102,0.361423869139312
D_Raffinose,0.0458333333333327,0.687844985481276,0.0238666666666665,0.799383904312207,-0.0606833200000001,0.504992449137692,0.0757166646666666,0.0856953527930926,-0.148585347079612,0.368044458415692
b_Methyl_D_Glucoside,0.0750666666666647,0.51058401160738,0.121666666666666,0.195591819860615,-0.0489833256666679,0.590455942370488,-0.030716662666667,0.484988886778804,-0.14721108733569,0.372488685176412
MelibionicAcid,0.332,0.00379373725504176,0.1231,0.190390000140466,0.171516647,0.0600451298079926,0.0943500003333332,0.0324180017004143,-0.147074841928693,0.372931098167693
L_Arabinose,-0.170066666666668,0.136530468737725,0.089266666666666,0.342092154094638,-0.231083333666668,0.0114446339362845,-0.0224166663333337,0.610270328556868,-0.136745736966531,0.40741545084977
Glucuronamide,0.0274999999999995,0.809489261265494,0.0519333333333331,0.580313996314401,-0.0703500010000003,0.439655762652403,-0.0371833320000001,0.398006226454147,-0.135345873244279,0.412231310932553
